Unnamed: 0.1,id,imdb_id,popularity,budget,revenue,original_title,cast,director,tagline,keywords,overview,runtime,genres,vote_count,Year of release,Movie Rating,Gross collection,Name of movie,Popularity
54,,,4.237188379310346,44010464.62068965,282622788.5,Once Upon a Time in the West,0,0,0,0,0,140.8793103448276,0,2911.5,1968,8.5,$5.32M,,
55,,,4.237188379310346,44010464.62068965,282622788.5,Grave of the Fireflies,0,0,0,0,0,140.8793103448276,0,2911.5,1988,8.5,#44,,
56,,,4.237188379310346,44010464.62068965,282622788.5,Cinema Paradiso,0,0,0,0,0,140.8793103448276,0,2911.5,1988,8.5,$11.99M,,
57,11603.0,tt0166322,0.18093,0.0,0.0,Rear Window,Christopher Reeve|Daryl Hannah|Robert Forster|Ruben Santiago-Hudson|Anne Twomey,Jeff Bleckner,Who's watching who?,architect|wheelchair|leave|murder|hitchcockian,Modern remake of Rear Window in which the lead character is paralyzed and lives in a high-tech home filled with assistive technology.,89.0,Drama|Thriller|TV Movie,10.0,1954,8.5,$36.76M,,
58,,,4.237188379310346,44010464.62068965,282622788.5,Modern Times,0,0,0,0,0,140.8793103448276,0,2911.5,1936,8.5,$0.16M,,
59,,,4.237188379310346,44010464.62068965,282622788.5,Kaithi,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.5,*****,,
60,,,4.237188379310346,44010464.62068965,282622788.5,City Lights,0,0,0,0,0,140.8793103448276,0,2911.5,1931,8.5,$0.02M,,
61,,,4.237188379310346,44010464.62068965,282622788.5,96,0,0,0,0,0,140.8793103448276,0,2911.5,II 2018,8.5,*****,,
62,,,4.237188379310346,44010464.62068965,282622788.5,Avengers: Endgame,0,0,0,0,0,140.8793103448276,0,2911.5,2019,8.4,$858.37M,,
63,,,4.237188379310346,44010464.62068965,282622788.5,Joker,0,0,0,0,0,140.8793103448276,0,2911.5,I 2019,8.4,$335.45M,,
64,,,4.237188379310346,44010464.62068965,282622788.5,Spider-Man: Into the Spider-Verse,0,0,0,0,0,140.8793103448276,0,2911.5,2018,8.4,$190.24M,,
65,85.0,tt0082971,4.5783,18000000.0,389925971.0,Raiders of the Lost Ark,Harrison Ford|Karen Allen|Paul Freeman|Ronald Lacey|John Rhys-Davies,Steven Spielberg,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,saving the world|riddle|nepal|himalaya|cairo,"When Dr. Indiana Jones â€“ the tweed-suited professor who just happens to be a celebrated archaeologist â€“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",115.0,Adventure|Action,2506.0,1981,8.4,$248.16M,,
66,,,4.237188379310346,44010464.62068965,282622788.5,Your Name.,0,0,0,0,0,140.8793103448276,0,2911.5,2016,8.4,$5.02M,,
67,679.0,tt0090605,2.485419,18500000.0,131060248.0,Aliens,Sigourney Weaver|Carrie Henn|Michael Biehn|Lance Henriksen|Paul Reiser,James Cameron,This Time It's War,android|extraterrestrial technology|space marine|spaceman|cryogenics,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",137.0,Horror|Action|Thriller|Science Fiction,2027.0,1986,8.4,$85.16M,,
68,,,4.237188379310346,44010464.62068965,282622788.5,Avengers: Infinity War,0,0,0,0,0,140.8793103448276,0,2911.5,2018,8.4,$678.82M,,
69,68718.0,tt1853728,5.944518,100000000.0,425368238.0,Django Unchained,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Kerry Washington|Samuel L. Jackson,Quentin Tarantino,"Life, liberty and the pursuit of vengeance.",bounty hunter|hero|plantation|society|friendship,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165.0,Drama|Western,7375.0,2012,8.4,$162.81M,,
70,106035.0,tt0118460,0.427343,0.0,0.0,The Shining,Steven Weber|Rebecca De Mornay|Stephen King|Wil Horneff|Courtland Mead,Mick Garris,110 empty hotel rooms - filled with horror!,hotel|teacher|tv mini-series|cameo appearance|family violence,"John Torrance is a writer &amp; recovering alcoholic, who ends up taking a job as a winter caretaker for a remote Colorado hotel which he seeks as an opportunity to finish a piece of work. With his wife and son with him, the caretaker settles in, only to see visions of the hotel's long deceased employees and guests. With evil intentions, they manipulate him into his dark side which takes a toll on he and his family.",273.0,Drama|Horror|Thriller|TV Movie,37.0,1980,8.4,$44.02M,,
